name,date,title,pre_email,company_url
SEARCHSPRING,"May 11, 2022","Searchspring Introduces Personalized Search & Merchandising, Helping Merchants Increase Revenue and Customer Loyalty Through Tailored Shopper Experiences",stacy@ketnergroup.com,https://www.retaildive.com/press-release/20220511-searchspring-introduces-personalized-search-merchandising-helping-mercha/
INTERFACE SYSTEMS,"May 10, 2022",Interface Systems Appoints Brent Duncan as Chief Executive Officer,veronique@highrezpr.com,https://www.retaildive.com/press-release/20220510-interface-systems-appoints-brent-duncan-as-chief-executive-officer-4/
COGNIRA,"May 03, 2022",Cognira to Provide Artificial Intelligence Promotion Solution to Cub,jasmine.black@cognira.com,https://www.retaildive.com/press-release/20220502-cognira-to-provide-artificial-intelligence-promotion-solution-to-cub/
DEMANDTEC BY ACOUSTIC,"April 26, 2022","DemandTec Launches ""Autonomous Pricing On Demand"" Service for Retailers",theresa@siliconvalleystorylab.com,https://www.retaildive.com/press-release/20220426-demandtec-launches-autonomous-pricing-on-demand-service-for-retailers/
NEDAP RETAIL,"April 26, 2022",Nedap iD Cloud selected by Spanish children’s clothing retailer Charanga,retailpr@nedap.com,https://www.retaildive.com/press-release/20220426-nedap-id-cloud-selected-by-spanish-childrens-clothing-retailer-charanga/
ONQ,"April 21, 2022",OnQ Ships its One-Millionth Retail Security Bracket Ahead of the 2022 Retail Asset Protection Conference,john@onqsolutions.com,https://www.retaildive.com/press-release/20220421-onq-ships-its-one-millionth-retail-security-bracket-ahead-of-the-2022-retai/
INTERFACE SECURITY SYSTEMS,"April 21, 2022","Lone worker protection is a fundamental responsibility for all retailers, says Interface",veronique@highrezpr.com,https://www.retaildive.com/press-release/20220420-lone-worker-protection-is-a-fundamental-responsibility-for-all-retailers-s/
OPEN VISIBILITY NETWORK,"April 21, 2022",BlueBox Systems Joins the Open Visibility Network — Adds Real-time Air Cargo Shipment Tracking,Not Provided,https://www.retaildive.com/press-release/20220421-bluebox-systems-joins-the-open-visibility-network-adds-real-time-air-carg/
EXIGER,"April 20, 2022",Brandon Daniels Named CEO of Exiger,kgurfein@exiger.com,https://www.retaildive.com/press-release/20220420-brandon-daniels-named-ceo-of-exiger/
THE RECYCLING PARTNERSHIP,"April 14, 2022",Circular Packaging Assessment Tool Launched to Help Advance Today's Recycling System,evogler@recyclingpartnership.org,https://www.retaildive.com/press-release/20220414-circular-packaging-assessment-tool-launched-to-help-advance-todays-recycli/
VIA,"April 12, 2022","Shufersal announces partnership with Via to introduce an advanced software solution that will create a digital, innovative, and efficient distribution system",sarajessica@ridewithvia.com,https://www.retaildive.com/press-release/20220412-shufersal-announces-partnership-with-via-to-introduce-an-advanced-software/
HIVERY,"April 12, 2022",Webinar: Leveraging AI towards locally relevant shelves: Why data has a better idea about your store clusters,Not Provided,https://www.retaildive.com/press-release/20220411-leveraging-ai-towards-locally-relevant-shelves-why-data-has-a-better-idea-1/
"CONTRACT DATASCAN, LP","April 11, 2022",DATASCAN Launches DART SMART Analytics Tool,becky.corthell@datascan.com,https://www.retaildive.com/press-release/20220411-datascan-launches-dart-smart-analytics-tool/
CONTACTPIGEON,"April 11, 2022","ContactPigeon launches Samaritan, an Omnichannel Chat for retailers",marketing@contactpigeon.com,https://www.retaildive.com/press-release/20220407-contactpigeon-launches-samaritan-a-powerful-omnichannel-chat-functionality/
TIVE,"April 11, 2022",Tive Raises $54M in Series B Funding Led by AXA Venture Partners,jim@tive.com,https://www.retaildive.com/press-release/20220407-tive-raises-54m-in-series-b-funding-led-by-axa-venture-partners/
UMI MARKETING SOLUTIONS,"April 08, 2022",UMI Supports Local Pet Bakery with its First-Ever ‘Glow Up’,Not Provided,https://www.retaildive.com/press-release/20220407-umi-supports-local-pet-bakery-with-its-first-ever-glow-up/
ANDERSEN INC.,"April 08, 2022","Andersen Allocates $2,000,000 to Help Its Ukrainian Employees",vn@andersenlab.com,https://www.retaildive.com/press-release/20220408-andersen-allocates-2000000-to-help-its-ukrainian-employees/
FLOWSPACE,"April 07, 2022",New Study Reveals that Brands Require Tech-Enabled Fulfillment to Grow in Social Commerce,Not Provided,https://www.retaildive.com/press-release/20220407-new-study-reveals-that-brands-require-tech-enabled-fulfillment-to-grow-in-s/
DESCARTES SYSTEMS GROUP,"April 06, 2022",Descartes’ Ecommerce Study Reveals Mixed Consumer Sentiment on Retailers’ Home Delivery Performance,"['cstrohack@descartes.com', 'atavener@descartes.com']",https://www.retaildive.com/press-release/20220406-descartes-ecommerce-study-reveals-mixed-consumer-sentiment-on-retailers-h/
LUNAR DRINKS,"April 06, 2022","Lunar, U.S.’s First Craft Hard Seltzer Made With Real Fruit From Asia, Expands Distribution Footprint in New York On The Heels of Fundraise Launch Announcement",Not Provided,https://www.retaildive.com/press-release/20220405-lunar-uss-first-craft-hard-seltzer-made-with-real-fruit-from-asia-expa/
Not Provided,"April 05, 2022",In under six months Beauty Avenue Las Vegas opens its fourth store,cheryl@telesebeauty.onmicrosoft.com,https://www.retaildive.com/press-release/20220404-in-under-six-months-beauty-avenue-las-vegas-opens-its-fourth-store/
WHIPLASH,"March 31, 2022",Apparel Company Tuckernuck Joins Whiplash Fulfillment Network,rich.reba@whiplash.com,https://www.retaildive.com/press-release/20220331-apparel-company-tuckernuck-joins-whiplash-fulfillment-network/
CLEARSALE,"March 29, 2022",New Report from ClearSale Reveals Accelerating Trends in Global Ecommerce,bonnie@mossnetworks.com,https://www.retaildive.com/press-release/20220329-new-report-from-clearsale-reveals-accelerating-trends-in-global-ecommerce/
3RADICAL,"March 29, 2022",3radical’s 2022 Consumer Survey Report Uncovers Attitudes About Data Collection Practices and Personalization,linda.vetter@3radical.com,https://www.retaildive.com/press-release/20220329-3radicals-2022-consumer-survey-report-uncovers-attitudes-about-data-collec/
COMMERCEHUB,"March 29, 2022","CommerceHub Introduces New Commerce Suite and Delivery Suite Solutions as Part of its Trusted Commerce Network, Helping Businesses Grow Faster and Provide Exceptional Customer Experiences",fmonroy@commercehub.com,https://www.retaildive.com/press-release/20220329-commercehub-introduces-new-commerce-suite-and-delivery-suite-solutions-as-p/
ENVISTA,"March 28, 2022","enVista Launches enStore™, An Enterprise Mobile Fulfillment App That Enables Retail Store Associates to Easily Sell, Fulfill and Return Omnichannel Orders Anywhere in the Store",kloebig@envistacorp.com,https://www.retaildive.com/press-release/20220328-envista-launches-enstoretm-an-enterprise-mobile-fulfillment-app-that-enable/
TANGIBLEE,"March 23, 2022",Tangiblee to Launch Immersive Shopping and AR Commerce Features at Shoptalk 2022,kenzie@tangiblee.com,https://www.retaildive.com/press-release/20220323-shoptalk-2022-sneak-preview/
SMARTER SORTING,"March 23, 2022","Smarter Sorting Raises $25M Led by G2 Ventures and Names Jacqueline Claudia CEO, to Improve Sustainability for Consumer Brands and Retailers",tdouglas@catapultpr-ir.com,https://www.retaildive.com/press-release/20220323-smarter-sorting-raises-25m-led-by-g2-ventures-and-names-jacqueline-claudia/
CINCY BRANDS,"March 23, 2022",Cincy Brands Raises Capital to Acquire and Accelerate Better-For-You Ecommerce Brands,press@cincybrands.com,https://www.retaildive.com/press-release/20220322-cincy-brands-raises-capital-to-acquire-and-accelerate-better-for-you-ecomme/
"FLEXCON COMPANY, INC.","March 22, 2022",FLEXcon Expands Product Line for Shelf Tags and Shelf Markers with Greener Alternative,amonette@flexcon.com,https://www.retaildive.com/press-release/20220321-flexcon-expands-product-line-for-shelf-tags-and-shelf-markers-with-greener/
DESCARTES SYSTEMS GROUP,"March 22, 2022",Descartes Combines Warehousing and Shipping Solutions for Ecommerce Companies,cstrohack@descartes.com,https://www.retaildive.com/press-release/20220322-descartes-combines-warehousing-and-shipping-solutions-for-ecommerce-compani/
XRC LABS,"March 21, 2022",XRC Labs Announces Cohort 13,Amanda@xrclabs.com,https://www.retaildive.com/press-release/20220321-xrc-labs-announces-cohort-13/
DATASCAN,"March 18, 2022",DATASCAN launches complete RFID solutions in the Retail Market and announces partnership with Frequentiel,becky.corthell@datascan.com,https://www.retaildive.com/press-release/20220318-datascan-launches-complete-rfid-solutions-in-the-retail-market-and-announce/
APTOS,"March 17, 2022",Mulberry Taps Aptos Order Management System to Power Unified Bricks and Clicks Experiences,kmiller@aptos.com,https://www.retaildive.com/press-release/20220317-mulberry-taps-aptos-order-management-system-to-power-unified-bricks-and-cli/
CYMBIO,"March 16, 2022",Cymbio Partners With BigCommerce to Help Merchants Connect with Retailers and Reach New Customers,jolene@cym.bio,https://www.retaildive.com/press-release/20220315-cymbio-partners-with-bigcommerce-to-help-merchants-connect-with-retailers/
BRIGHTPEARL,"March 15, 2022",Search Begins to Find the Fastest Growing Online Retailers in the US,mark.hook@brightpearl.com,https://www.retaildive.com/press-release/20220315-search-begins-to-find-the-fastest-growing-online-retailers-in-the-us/
HIVERY,"March 15, 2022",HIVERY Named to the 2022 CB Insights Retail Tech 100 List of Most Innovative Retail Startups,franki@hivery.com,https://www.retaildive.com/press-release/20220315-hivery-named-to-the-2022-cb-insights-retail-tech-100-list-of-most-innovativ/
BEVVI,"March 15, 2022","Leading Corporate Gifting Platform for the Beverage Industry, Bevvi, Launches API Platform Entitled BevviConnect",Not Provided,https://www.retaildive.com/press-release/20220314-leading-corporate-gifting-platform-for-the-beverage-industry-bevvi-launch/
MUTTI USA INC.,"March 15, 2022","Mutti® Bucks Category Clichés, Serving Up A Tomato Epiphany To The Uninitiated",kristine.ford@muttiusa.com,https://www.retaildive.com/press-release/20220314-mutti-bucks-category-cliches-serving-up-a-tomato-epiphany-to-the-uninitia/
KWI,"March 11, 2022","KWI's Omnichannel Retail Platform Gains New Features, Delivers Seamless Shopper Experience",Not Provided,https://www.retaildive.com/press-release/20220311-kwis-omnichannel-retail-platform-gains-new-features-delivers-seamless-sho/
ENVISTA,"March 08, 2022","enVista Launches Inventory Forecasting and Planning as a Service Offering to the Market, Optimizing Inventory by Echelon and Channel",kloebig@envistacorp.com,https://www.retaildive.com/press-release/20220308-envista-launches-inventory-forecasting-and-planning-as-a-service-offering-t/
MONROE & KENT HOME,"March 07, 2022","Monroe & Kent Home Announce Plans to Open Outlet Center in West Berlin, New Jersey",hello@mandkhome.com,https://www.retaildive.com/press-release/20220307-here-they-grow-again/
NEXT CENTURY SPIRITS,"March 07, 2022",Next Century Spirits Debuts Caddy Clubhouse Cocktails: A Brand New Ready-to-Drink (RTD) Cocktail in Partnership with Golf Legend Greg Norman,Not Provided,https://www.retaildive.com/press-release/20220305-next-century-spirits-debuts-caddy-clubhouse-cocktails-a-brand-new-ready-to/
U.S. PLASTICS PACT,"March 07, 2022",U.S. Plastics Pact Delivers on Commitment to Transparency and Using a Data-Driven Approach to Build a Circular Economy by Publishing its “2020 Baseline Report”,tsvendsen@usplasticspact.org,https://www.retaildive.com/press-release/20220307-us-plastics-pact-delivers-on-commitment-to-transparency-and-using-a-data-/
SHOP LIT LIVE,"March 03, 2022",Shop LIT Live Announces the Launch of Livestream Shopping Solutions for Brands,lara@laramillerpr.com,https://www.retaildive.com/press-release/20220303-shop-lit-live-announces-the-launch-of-livestream-shopping-solutions-for-bra/
ACADIA,"March 03, 2022",Acadia Acquires Amazon and Instacart Pioneer Bobsled Marketing - Adds Full-service Retail Marketplace Power to Expanding Services,toni@tonileepr.com,https://www.retaildive.com/press-release/20220303-acadia-acquires-amazon-and-instacart-pioneer-bobsled-marketing-agency-add/
THE RECYCLING PARTNERSHIP,"March 02, 2022",National Database Provides Real-Time Comprehensive Source for U.S. Recycling Information,mappel@recyclingpartnership.org,https://www.retaildive.com/press-release/20220302-national-database-provides-real-time-comprehensive-source-for-us-recyclin-1/
NAUTICAL COMMERCE,"February 24, 2022","Bhavin Shah Named CTO/COO of Nautical Commerce, the Multi-Vendor Marketplace Platform",marketing@nauticalcommerce.com,https://www.retaildive.com/press-release/20220223-bhavin-shah-named-ctocoo-of-nautical-commerce-the-multi-vendor-marketplac/
PERPETUA & WHYTESPYDER,"February 23, 2022",Perpetua expands Walmart offering:  New one-click optimization helps advertisers improve content quality score and organic rank,wendy@perpetua.io,https://www.retaildive.com/press-release/20220223-perpetua-expands-walmart-offering-with-new-one-click-optimization-for-adver/
SWAP.COM,"February 21, 2022",Swap.com Partners with FIND.Fashion to Offer Unprecedented Visual Searching Powered by AI,christine@pietrylapr.com,https://www.retaildive.com/press-release/20220221-swapcom-partners-with-findfashion-to-offer-unprecedented-visual-searching/
RSA AMERICA,"February 21, 2022",RSA America Survey Suggests Grocery Shoppers Across the Country Believe the Pandemic Changed Grocery Shopping Forever,christine@pietrylapr.com,https://www.retaildive.com/press-release/20220221-rsa-america-survey-suggests-grocery-shoppers-across-the-country-believe-the/
HIVERY,"February 17, 2022",HIVERY named as a leading innovator in the retail tech industry by Forbes. Includes Video.,franki@hivery.com,https://www.retaildive.com/press-release/20220216-hivery-named-as-a-leading-innovator-in-the-retail-tech-industry-by-forbes/
SEON,"February 17, 2022","SEON Partners with Global Buy Now, Pay Later Leader to Fight Fraud",gpickering@lookleftmarketing.com,https://www.retaildive.com/press-release/20220217-seon-partners-with-global-buy-now-pay-later-leader-to-fight-fraud/
DESCARTES SYSTEMS GROUP,"February 14, 2022",Descartes Releases February Report on Global Shipping Crisis,cstrohack@descartes.com,https://www.retaildive.com/press-release/20220214-descartes-releases-february-report-on-global-shipping-crisis/
DESCARTES SYSTEMS GROUP,"February 10, 2022",Descartes Acquires NetCHB,Not Provided,https://www.retaildive.com/press-release/20220210-descartes-acquires-netchb/
OPEN4SALE TECHNOLOGY,"February 10, 2022",Open4Sale Technology’s All-in-One App Ushers in the Future of Retail During Interactive Live Video and Live-Streaming Customer Experience,"['simon@o4stech.com', 'veronica@ingearpr.com']",https://www.retaildive.com/press-release/20220209-open4sale-technologys-all-in-one-app-ushers-in-the-future-of-retail-during/
APTOS,"February 08, 2022",Lifestyle Adventure Retailer Eigerindo Takes Product Lifecycle Management to the Cloud with Aptos,kmiller@aptos.com,https://www.retaildive.com/press-release/20220208-lifestyle-adventure-retailer-eigerindo-takes-product-lifecycle-management-t/
CHAIN.IO,"February 08, 2022",Altana AI Selects Chain.io Data Connectivity Tools to Help Retailers Enable Reliable Global Trade,Not Provided,https://www.retaildive.com/press-release/20220208-altana-ai-selects-chainio-data-connectivity-tools-to-help-retailers-enable/
BEATBOX BEVERAGES,"February 07, 2022","BeatBox Beverages Launching Equity Crowdfunding Campaign, New Innovation",Not Provided,https://www.retaildive.com/press-release/20220205-beatbox-beverages-launching-equity-crowdfunding-campaign-new-innovation/
SKUVAULT,"February 07, 2022",SkuVault Announces Newest Offering for the Growing 3PL Market,Not Provided,https://www.retaildive.com/press-release/20220126-skuvault-announces-newest-offering-for-the-growing-3pl-market/
CONVESIO,"February 03, 2022",Convesio Raises $5M Funding To Further Develop Its Scalable WordPress Hosting Platform,info@convesio.com,https://www.retaildive.com/press-release/20220202-convesio-raises-5m-funding-to-further-develop-its-scalable-wordpress-hosti/
Not Provided,"February 03, 2022",Beauty Avenue opening Indie Beauty concept stores at the world-famous Las Vegas strip,cheryl@telesebeauty.onmicrosoft.com,https://www.retaildive.com/press-release/20220202-beauty-avenue-opening-indie-beauty-concept-stores-at-the-world-famous-las-v/
Not Provided,"February 03, 2022",Best Buy Selects AWS as Its Strategic Cloud Provider,Amazon-pr@amazon.com,https://www.retaildive.com/press-release/20220203-best-buy-selects-aws-as-its-strategic-cloud-provider/
ONEVIEW COMMERCE,"February 02, 2022",OneView Commerce Shopper Experience Survey Highlights Necessity of Targeted Digital-to-Store Engagement,pr@oneviewcommerce.com,https://www.retaildive.com/press-release/20220201-oneview-commerce-shopper-experience-survey-highlights-necessity-of-targeted/
ELASTIC PATH,"February 01, 2022",Elastic Path Secures $60M in Growth Funding To Accelerate Composable Commerce Movement,media@elasticpath.com,https://www.retaildive.com/press-release/20220131-elastic-path-secures-60m-in-growth-funding/
PROFIT WHALES,"January 25, 2022",Profit Whales 2021 Annual Amazon Ads Report: Quarter Breakdown and Sponsored Products More Than 10% Drop In Ad Sales,official@profitwhales.com,https://www.retaildive.com/press-release/20220125-profit-whales-2021-annual-amazon-ads-report-quarter-breakdown-and-sponsore-1/
APTOS,"January 25, 2022",Finish Line to Boost Omnichannel Merchandising Strategies with Aptos Technology,"['kmiller@aptos.com', 'barrington@finishline.com']",https://www.retaildive.com/press-release/20220125-finish-line-to-boost-omnichannel-merchandising-strategies-with-aptos-techno/
NEDAP,"January 25, 2022",Promod chooses Nedap iD Cloud to push digitization strategy,ilse.protsman@nedap.com,https://www.retaildive.com/press-release/20220125-promod-chooses-nedap-id-cloud-to-push-digitization-strategy/
OPEN4SALE,"January 18, 2022","Open4Sale App Creates the World’s First Complete Live, Interactive Video Shopping Experience",veronica@ingearpr.com,https://www.retaildive.com/press-release/20220118-open4sale-app-creates-the-worlds-first-complete-live-interactive-video-sh/
PERPETUA,"January 18, 2022","Perpetua Release Q4 2021 Amazon Benchmark Report: Despite 21% decrease in impressions, Q4 2021 saw increase across sales, spend, clicks and conversions on Amazon",wendy@perpetua.io,https://www.retaildive.com/press-release/20220118-perpetua-release-q4-2021-amazon-benchmark-report-despite-21-decrease-in-i/
TANGIBLEE,"January 13, 2022",Tangiblee Invited to Participate in La Maison des Startups LVMH,Not Provided,https://www.retaildive.com/press-release/20220113-tangiblee-invited-to-participate-in-la-maison-des-startups-lvmh/
HIVERY,"January 12, 2022",New Study Explores Next-Gen Merchandising Solutions For Retail,franki@hivery.com,https://www.retaildive.com/press-release/20220111-new-study-explores-next-gen-merchandising-solutions-for-retail/
AFTERPAY,"January 11, 2022",The Return of IRL Shopping: Holiday Shoppers Went Back to Stores with Orders up 384%,daphne.duong@afterpay.com,https://www.retaildive.com/press-release/20220111-the-return-of-irl-shopping-holiday-shoppers-went-back-to-stores-with-order/
TANGIBLEE,"January 11, 2022",NRF 2022 Sneak Preview: Tangiblee Transforms the World's Largest Retail Catalogs Into Interactive eCommerce Experiences,Not Provided,https://www.retaildive.com/press-release/20220111-nrf-2022-sneak-preview-tangiblee-transforms-the-worlds-largest-retail-cat/
ISUSTAIN RECYCLING,"January 11, 2022",Sigma Stretch Film Partners with iSustain Recycling to provide Sustainability Solutions to Sigma Stretch Film and their Customers,"['mh@isustainrecycling.com', 'tom.paulett@sigmaplastics.com']",https://www.retaildive.com/press-release/20220111-sigma-stretch-film-partners-with-isustain-recycling-to-provide-sustainabili/
NEDAP,"January 11, 2022",Nedap iD Cloud selected by Carter’s to optimize omnichannel,ilse.protsman@nedap.com,https://www.retaildive.com/press-release/20220105-nedap-id-cloud-selected-by-carters-to-optimize-omnichannel/
TANGIBLEE,"January 06, 2022","Lucardi Jeweler first in the Netherlands to offer Virtual Try-On, with tech partner Tangiblee",Not Provided,https://www.retaildive.com/press-release/20220106-lucardi-jeweler-first-retailer-in-the-netherlands-to-offer-virtual-try-on-w/
NOSTO,"January 05, 2022","Nosto Acquired SearchNode, Adding Ecommerce Search to its Commerce Experience Platform",john@johnforberger.com,https://www.retaildive.com/press-release/20220104-nosto-acquired-searchnode-adding-ecommerce-search-to-its-commerce-experien/
LEGION TECHNOLOGIES,"December 28, 2021",Legion Launches Rapid Recovery Program for Victims of UKG Private Cloud Ransomware Attack,legion@sourcecodecomms.com,https://www.retaildive.com/press-release/20211227-legion-launches-rapid-recovery-program-for-victims-of-ukg-private-cloud-ran/
YANDEX,"December 20, 2021",Istegelsin To Begin Using Yandex.Routing To Enhance Its Delivery And Logistics Operations,Not Provided,https://www.retaildive.com/press-release/20211220-turkish-istegelsin-to-begin-using-yandexrouting-to-enhance-its-delivery-an/
DIGITAL TURBINE,"December 15, 2021",New “APP-ortunity” Report on Install Intent Reveals Surprise Shopping Apps Poised For Breakout Growth,brian.bartholomew@digitalturbine.com,https://www.retaildive.com/press-release/20211215-new-app-ortunity-report-on-install-intent-reveals-surprise-shopping-apps/
LONGBOW ADVANTAGE,"December 15, 2021",Boardriders Selects Longbow Advantage to Drive Supply Chain Visibility and Labor Management,lchesley@longbowadvantage.com,https://www.retaildive.com/press-release/20211214-boardriders-selects-longbow-advantage-to-drive-visibility-and-labor-plannin/
TALKABLE,"December 14, 2021",Talkable Partners With Tapcart to Deliver Premium In-App Referral Experiences,marketing@talkable.com,https://www.retaildive.com/press-release/20211213-talkable-partners-with-tapcart-to-deliver-premium-in-app-referral-experienc/
INTERFACE SECURITY SYSTEMS,"December 13, 2021",Interface shares its top physical security industry predictions for 2022,veronique@highrezpr.com,https://www.retaildive.com/press-release/20211213-interface-shares-its-top-physical-security-industry-predictions-for-2022/
STORIQ,"December 13, 2021",London SAAS Company to Reveal Activity Planning Software in NYC,Anoushka.farouk.cx21@storiq.net,https://www.retaildive.com/press-release/20211213-london-saas-company-to-reveal-activity-planning-software-in-nyc/
REVIONICS,"December 09, 2021","Revionics Recognized as a Technology Leader in Quadrant Knowledge Solutions’ SPARK Matrix for Intelligent Retail Pricing and Promotion Optimization, 2021","['kmiller@aptos.com', 'rmehar@quadrant-solutions.com']",https://www.retaildive.com/press-release/20211209-revionics-recognized-as-a-technology-leader-in-quadrant-knowledge-solutions/
SQUARE,"December 08, 2021",Square Releases Second Annual Future of Commerce Report,Not Provided,https://www.retaildive.com/press-release/20211208-square-releases-second-annual-future-of-commerce-report-2/
WHIPLASH,"December 08, 2021",Free Fly Apparel Selects Whiplash as Omnichannel Fulfillment Partner,rich.reba@whiplash.com,https://www.retaildive.com/press-release/20211208-free-fly-apparel-selects-whiplash-as-omnichannel-fulfillment-partner/
QUICKCONTRACTORS.COM INC.,"December 08, 2021",QuickContractors.com Inc. Announces $2 Million in AI Funding Towards Unified Delivery Service,andrew.spurvey@quickcontractors.com,https://www.retaildive.com/press-release/20211208-quickcontractorscom-inc-announces-2-million-in-ai-funding-towards-unifie/
Not Provided,"December 07, 2021",Report Shows Value of Smart Robots Within Consumer Goods Fulfillment,Not Provided,https://www.retaildive.com/press-release/20211207-report-shows-key-innovations-to-face-new-realities-within-consumer-goods-fu/
HIVERY,"December 07, 2021",Excellence in Export Winner: Exporting Next-Gen Assortment Merchandising Solutions To The World,franki@hivery.com,https://www.retaildive.com/press-release/20211206-excellence-in-export-winner-exporting-next-gen-assortment-merchandising-so/
THERMAL CUSTOM PACKAGING,"December 06, 2021","Thermal Custom Packaging is Revolutionizing the Frozen Food Delivery Business with Environmentally Friendly, Green Alternative to Dry Ice",Not Provided,https://www.retaildive.com/press-release/20211201-thermal-custom-packaging-is-revolutionizing-the-frozen-food-delivery-busine/
REVIEVE®,"December 02, 2021",Revieve® Launches AI Makeup Advisor to Help Brands and Retailers Deliver a Personalized Digital Beauty Experience Spanning the Customer Journey,"['sserbanoiu@daddibrand.com', 'kim@revieve.com']",https://www.retaildive.com/press-release/20211130-revieve-launches-ai-makeup-advisor-to-help-brands-and-retailers-deliver-a/
TULIP,"December 02, 2021",The new enterprise retail POS has arrived,Not Provided,https://www.retaildive.com/press-release/20211202-the-new-enterprise-retail-pos-has-arrived/
HIVERY,"December 02, 2021",HIVERY Attracts Top Industry Talent Once Again,franki@hivery.com,https://www.retaildive.com/press-release/20211129-hivery-attracts-top-industry-talent-once-again/
DEMANDTEC BY ACOUSTIC,"December 01, 2021","DemandTec Unveils Unify, the Industry’s First Autonomous Unified Merchandising Platform, to Level the Retail Playing Field",theresa@siliconvalleystorylab.com,https://www.retaildive.com/press-release/20211130-demandtec-unveils-unify-the-industrys-first-autonomous-unified-merchandis/
QUINYX,"November 30, 2021",Quinyx raises $50 million to transform the way businesses manage their hourly workforce,laurie.pace@quinyx.com,https://www.retaildive.com/press-release/20211130-quinyx-raises-50-million-to-transform-the-way-businesses-manage-their-hour-1/
SPEAKEASY CO.,"November 30, 2021",Speakeasy Co. and BACARDÍ® Rum Join Forces on Limited-Edition Holiday Gift Pack,taylorf@speakeasyco.com,https://www.retaildive.com/press-release/20211130-speakeasy-co-and-bacardi-rum-join-forces-on-limited-edition-holiday-gift/
NEDAP,"November 30, 2021",Under Armour Selects Nedap for Global Deployment of RFID in Retail,ilse.protsman@nedap.com,https://www.retaildive.com/press-release/20211129-under-armour-selects-nedap-for-global-deployment-of-rfid-in-retail/
REDTRACK.IO,"November 29, 2021",RedTrack integrates with Shopify and brings back accurate reporting for Facebook,partnership@redtrack.io,https://www.retaildive.com/press-release/20211126-redtrack-integrates-with-shopify-and-brings-back-accurate-reporting-for-fac/
PROGLOVE,"November 24, 2021",Survey: More Than Three-Quarters of Americans Expect Major Shipping Delays,Not Provided,https://www.retaildive.com/press-release/20211124-survey-more-than-three-quarters-of-americans-expect-major-shipping-delays-1/
HYDROJUG,"November 24, 2021",HydroJug Launches Partnership With Bodybuilding.com,lexi@thehydrojug.com,https://www.retaildive.com/press-release/20211122-hydrojug-launches-partnership-with-bodybuildingcom/
HIVERY,"November 22, 2021",Red Bull's John Showalter Joins HIVERY to Bring AI Assortment Simulation to More CPG and Retailers,franki@hivery.com,https://www.retaildive.com/press-release/20211121-red-bulls-john-showalter-joins-hivery-to-bring-ai-assortment-simulation-to/
AMAZON WEB SERVICES,"November 22, 2021",adidas Migrates SAP Environments to AWS,Amazon-pr@amazon.com,https://www.retaildive.com/press-release/20211122-adidas-migrates-sap-environments-to-aws/
BLOOMERS INTIMATES,"November 18, 2021","From Software To Underwear: Former Tech Entrepreneur & Her Digital Marketing Daughter Unveil Super Comfy, Yet Sexy High-Waisted Panties",denise@dmkpublicity.com,https://www.retaildive.com/press-release/20211118-from-software-to-underwear-award-winning-former-tech-entrepreneur-dr-sha/
EQUIPMENTSHARE,"November 18, 2021",EquipmentShare Announces Workforce Development Program in Honor of National Apprenticeship Week,amy.susan@equipmentshare.com,https://www.retaildive.com/press-release/20211118-equipmentshare-announces-workforce-development-program-in-honor-of-national/
MANIFEST COMMERCE,"November 18, 2021","Manifest Commerce, in Partnership with Project Verte, launches the first sustainable B2B fulfillment solution for omnichannel merchants",jen@manifestcommerce.io,https://www.retaildive.com/press-release/20211118-manifest-commerce-in-partnership-with-project-verte-launches-the-first-su/
NEDAP,"November 18, 2021",Seamless shopping without the shrink: Nedap announces new iD Cloud Loss Prevention solution,ilse.protsman@nedap.com,https://www.retaildive.com/press-release/20211116-seamless-shopping-without-the-shrink-nedap-announces-new-id-cloud-loss-pre/
KNACK,"November 18, 2021","Knack Launches Knest, A New Personalized Gifting Platform",alexa.weber@actionmary.com,https://www.retaildive.com/press-release/20211117-knack-launches-knest-a-new-personalized-gifting-platform/
SQUARE,"November 17, 2021",Square gives online businesses the power of a photo studio in their pocket with new Square Photo Studio app,Not Provided,https://www.retaildive.com/press-release/20211116-square-gives-online-businesses-the-power-of-a-photo-studio-in-their-pocket/
HARVER,"November 17, 2021","Following Acquisition, Outmatch rebrands as Harver to Lead Digital Transformation in Volume Hiring Globally",press@harver.com,https://www.retaildive.com/press-release/20211117-following-acquisition-outmatch-rebrands-as-harver-to-lead-digital-transfor/
INTERFACE SECURITY SYSTEMS,"November 16, 2021",Mister Car Wash Transforms Security Operations Nationwide with Interface,veronique@highrezpr.com,https://www.retaildive.com/press-release/20211116-mister-car-wash-transforms-security-operations-nationwide-with-interface/
MINGLE MASK,"November 16, 2021",Mingle Mask Unveils Fan-Inspired Combo Pack that Brings Together Two Sought-After Invisible Masks for Consumers to Breathe Easier,lauren@connectcomsinc.com,https://www.retaildive.com/press-release/20211116-mingle-mask-unveils-fan-inspired-combo-pack-that-brings-together-two-sought/
FUTURE COMMERCE,"November 16, 2021",Future Commerce Announces Launch of Infinite Shelf,Bonnie@MossNetworks.com,https://www.retaildive.com/press-release/20211116-future-commerce-announces-launch-of-infinite-shelf/
Not Provided,"November 12, 2021",Artificial Intelligence Helps eCommerce Brands Generate High Performance Videos and Predict The Results on Social Media Ads,Not Provided,https://www.retaildive.com/press-release/20211112-genus-ai-introduces-artificial-intelligence-tool-to-help-brands-auto-genera/
